feature_set,preprocess,k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,stratified_sig_n,stratified_mean_effect,stratified_external_score,visited_sig_n,unvisited_sig_n,all_sig_n,visited_scored_sig_n,unvisited_scored_sig_n,all_scored_sig_n,k_robust_note
enhanced,zscore,4,0.09058376284155181,91.1039687028719,2.5773063396915648,286|351|87|156,4,0.10609298384255103,5.06092983842551,3,3,2,1,1,2,统计优先版
enhanced,robust,4,0.27892828070691666,195.4319891343525,1.4500907424087155,90|91|74|625,2,0.10581833080309762,3.0581833080309764,2,2,2,0,0,2,结构优先版
