cluster,cluster_name,n,share_pct,motive_count,new_project_pref_count,promo_pref_count,importance_mean,performance_mean,cognition_mean
1,品质稳定复游型,286,32.5,3.297202797202797,3.6818181818181817,2.674825174825175,4.116433566433566,4.106993006993006,3.8382867132867133
2,文化深度体验型,351,39.88636363636363,3.9743589743589745,3.7321937321937324,2.6296296296296298,4.119658119658119,4.116524216524216,3.9209401709401708
3,价格优惠敏感型,87,9.886363636363637,3.8505747126436782,3.7126436781609193,2.7701149425287355,4.1574712643678176,2.1252873563218393,3.7155172413793105
4,轻度打卡观光型,156,17.727272727272727,3.7435897435897436,3.6923076923076925,2.66025641025641,2.1160256410256406,2.9294871794871793,2.980769230769231
