run_id,sample_n,consistency_rate,silhouette
1,616,0.9951298701298701,0.3154137714417395
2,616,0.9967532467532467,0.3344343051520932
3,616,0.9967532467532467,0.32976551487978856
4,616,0.9951298701298701,0.32964088194561286
5,616,0.922077922077922,0.28768617854650413
6,616,0.9951298701298701,0.3305336274180592
7,616,0.9951298701298701,0.3313161947995616
8,616,0.8392857142857143,0.31764743123522887
9,616,0.9951298701298701,0.3156724061312851
10,616,0.9951298701298701,0.3320688993327184
11,616,0.823051948051948,0.32628297374789106
12,616,0.9431818181818182,0.29442931588427873
13,616,0.9935064935064936,0.3185302843319859
14,616,0.9935064935064936,0.32677724040386585
15,616,0.9951298701298701,0.2850796301114506
16,616,0.9383116883116883,0.31316993829557155
17,616,0.9983766233766234,0.3272494042095016
18,616,0.9155844155844156,0.2786950338865652
19,616,0.9967532467532467,0.32504447372957046
20,616,0.8344155844155844,0.3107880557759214
21,616,0.9334415584415584,0.2788623118296817
22,616,0.9967532467532467,0.32521558701817965
23,616,0.9951298701298701,0.33068511429070635
24,616,0.926948051948052,0.30871231304358954
25,616,0.9983766233766234,0.3274176116797747
26,616,0.9285714285714286,0.3168140748520708
27,616,0.9918831168831169,0.3169414564158229
28,616,0.9967532467532467,0.32318970839425515
29,616,0.9918831168831169,0.34087285485182967
30,616,0.9935064935064936,0.3102312514235267
31,616,0.9334415584415584,0.3055920332939046
32,616,0.9918831168831169,0.3302094818337156
33,616,0.9935064935064936,0.3225551344521595
34,616,0.9935064935064936,0.3226116187578932
35,616,0.8392857142857143,0.31402378271118825
36,616,0.9983766233766234,0.3323206844208849
37,616,0.9951298701298701,0.3212912694916317
38,616,0.9918831168831169,0.3400799238193662
39,616,0.9951298701298701,0.3186943223992133
40,616,0.9967532467532467,0.3188187433859265
41,616,0.9951298701298701,0.3528185596911534
42,616,0.9967532467532467,0.31165815582306244
43,616,0.9935064935064936,0.3287523207055133
44,616,0.8295454545454546,0.31953732870176293
45,616,0.9935064935064936,0.31233284269265055
46,616,0.9935064935064936,0.3051830288914202
47,616,0.9967532467532467,0.31924600089712807
48,616,0.9967532467532467,0.3349327932027539
49,616,0.9918831168831169,0.33830649479414016
50,616,0.8425324675324676,0.3356416493372216
51,616,0.9951298701298701,0.3091537168843965
52,616,0.9967532467532467,0.31792623977057033
53,616,0.9318181818181818,0.30655808961646513
54,616,0.9951298701298701,0.31677846294483386
55,616,0.9935064935064936,0.34210250623112176
56,616,0.9918831168831169,0.32561513642338236
57,616,0.9935064935064936,0.3450625520556299
58,616,0.9983766233766234,0.3040805726432186
59,616,0.9918831168831169,0.3235201597225068
60,616,0.9967532467532467,0.34752959294713914
61,616,0.9967532467532467,0.34128158364314193
62,616,0.9967532467532467,0.30780738227732524
63,616,0.9967532467532467,0.32750118766370967
64,616,0.9951298701298701,0.30216643240093594
65,616,0.9935064935064936,0.3135312019276764
66,616,0.9285714285714286,0.28342415637921875
67,616,0.8814935064935064,0.30854115954103634
68,616,0.9951298701298701,0.3234717452516212
69,616,0.9951298701298701,0.33171193391075443
70,616,0.9918831168831169,0.30731464897196636
71,616,0.9935064935064936,0.30904283528760684
72,616,0.9967532467532467,0.32004728626906503
73,616,0.8409090909090909,0.33257803199108493
74,616,0.9967532467532467,0.33013941116430257
75,616,0.9918831168831169,0.32632441093609477
76,616,0.9951298701298701,0.31134981827164854
77,616,0.9951298701298701,0.328872233861031
78,616,0.939935064935065,0.30230874888238496
79,616,0.9967532467532467,0.33746550382610685
80,616,0.9918831168831169,0.34187529301292374
81,616,1.0,0.3256194076899795
82,616,0.939935064935065,0.28654449592279396
83,616,0.9935064935064936,0.3299136341675149
84,616,0.9935064935064936,0.3095631404855168
85,616,0.9983766233766234,0.32833969621795533
86,616,0.9967532467532467,0.32971193030388785
87,616,0.9951298701298701,0.32969894460175925
88,616,0.9951298701298701,0.3336333669093081
89,616,0.836038961038961,0.33324781735727066
90,616,0.9918831168831169,0.34753898112324716
91,616,0.935064935064935,0.277553800052147
92,616,0.9967532467532467,0.3201331604074224
93,616,0.9951298701298701,0.3178398374148519
94,616,0.9967532467532467,0.3372652153281558
95,616,0.9951298701298701,0.33496397505969133
96,616,0.9935064935064936,0.3126941602910584
97,616,0.9967532467532467,0.3298477619342678
98,616,0.9967532467532467,0.32315036253266294
99,616,0.9935064935064936,0.31097036991016547
100,616,0.9951298701298701,0.3337737871085097
101,616,0.9902597402597403,0.3035519499174117
102,616,0.9967532467532467,0.3485403970927444
103,616,0.9967532467532467,0.3218180433535227
104,616,0.9967532467532467,0.3522922215136092
105,616,0.9935064935064936,0.33686444080175293
106,616,0.9935064935064936,0.32414680331367995
107,616,0.9301948051948052,0.28453724541747766
108,616,0.9886363636363636,0.3061440730476715
109,616,0.9967532467532467,0.31539279722299857
110,616,0.9967532467532467,0.3366195885148367
111,616,0.8311688311688312,0.30417029041052146
112,616,0.9951298701298701,0.32468653756268917
113,616,0.9951298701298701,0.3100449051239365
114,616,0.9918831168831169,0.3208122133943337
115,616,1.0,0.3128103944958034
116,616,0.9951298701298701,0.33597623678999156
117,616,0.9318181818181818,0.2975733533838153
118,616,0.9983766233766234,0.330861685148027
119,616,0.9935064935064936,0.34384903439976316
120,616,0.9935064935064936,0.33050404898093855
