feature_set,k,zscore_silhouette,robust_silhouette,zscore_stratified_score,robust_stratified_score,zscore_visited_sig_n,robust_visited_sig_n,zscore_unvisited_sig_n,robust_unvisited_sig_n,cluster_consistency_robust_vs_zscore,changed_share_robust_vs_zscore,preferred_preprocess
enhanced,2,0.18766918017419323,0.3269790728132302,3.6443407002814063,5.6164512208723405,3,5,2,2,0.9204545454545454,0.07954545454545459,robust
enhanced,4,0.09058376284155181,0.27892828070691666,5.06092983842551,3.0581833080309764,3,2,3,2,0.6045454545454545,0.3954545454545455,zscore
