category,dim1,dim2,dim1_contrib,dim2_contrib
Q1=1,0.053723571828533746,-0.06796718328447647,0.0004856189464438211,0.0013290271235267266
Q1=2,-0.05826851608300828,0.07371711852980138,0.0005267016772709526,0.0014414610884237963
Q2=1,-0.31767392812110623,0.4707769082645705,0.0012564949002855795,0.004718427916089867
Q2=2,-0.477546377697365,-0.057423727779123176,0.024403610803745996,0.000603358145377446
Q2=3,0.7709127734330503,-0.09375662614718841,0.07379598080576966,0.0018663607967589865
Q2=4,-0.5123067877953267,0.16610474524191635,0.013689506052060365,0.0024607136185682723
Q2=5,-0.5054338761009557,0.11819462638765359,0.007049176835314207,0.0006591353631219956
Q3=1,-0.4140078815675223,0.07841624808742274,0.0039798084375818575,0.00024413300947982947
Q3=2,-0.3540513764413145,-0.37807818222807954,0.0042182123027855655,0.008224860263368217
Q3=3,-0.5441080279281,-0.11181703651552083,0.020522645692181287,0.001482000915984876
Q3=4,0.5912843484144713,-0.03938255976146312,0.0492949748131558,0.000373927322788905
Q3=5,-0.4292826752106983,0.43073472555105546,0.010356167223197512,0.01782795537398973
Q4=1,2.223629876873683,-0.13431127801813916,0.22129545884986812,0.0013805174477950542
Q4=2,-0.38352749567746414,-0.05595834909597704,0.01677986904881525,0.0006107940257662672
Q4=3,-0.38831231275904676,-0.47324830259589173,0.00441445847010732,0.011211473074614335
Q4=4,-0.17117436878136905,0.3313586825543372,0.0009169724303871306,0.005875501669267218
Q4=5,-0.3981868850942622,0.14339781267430768,0.008323277256226743,0.0018457588005031781
Q4=6,-0.3184465539295665,-0.07421641647189368,0.0038219674978828663,0.00035496315820994967
Q4=7,-1.3198854487881966,3.126455140710524,0.000586230407966828,0.005624315815273226
Q4=8,-0.42303778798074504,0.7501312473796876,0.0024088745111248613,0.012950895544649496
Q5=1,1.3625101582633858,-0.021165604434429497,0.13181286897729902,5.438875300280289e-05
Q5=2,-0.40473744521672883,-0.12081933736419985,0.013119569630003736,0.0019990108521677607
Q5=3,-0.4078781591421599,0.15986141652667263,0.017522702936922194,0.004602533382224234
Q5=4,-0.3497953139820903,-0.172497555166122,0.006423155446153055,0.0026708886488070733
Q5=5,-0.20763252649512923,0.2347427921258291,0.0006238139643542646,0.0013633842831656659
Q6=1,-0.3654105000907997,-0.03278830588433318,0.01554654913887089,0.00021403231580566283
Q6=2,-0.264804836969194,0.08886734919611858,0.0066778109932377015,0.0012859858295016287
Q6=3,0.3752137552345252,0.019604099884750415,0.012507119197676225,5.8379858208434525e-05
Q6=4,1.5046378016438862,-0.27912041700141427,0.05180464591286353,0.0030482979848913596
Q7=1,-0.3657440627461531,0.43104092825970597,0.0072022868119933576,0.01710496922006057
Q7=2,-0.35467311513424876,-0.16164526818317682,0.010286287821216192,0.0036534028357889494
Q7=3,-0.26312418458267395,-0.02905687248015967,0.007944595196660012,0.00016565990562738457
Q7=4,1.0416693189353992,0.10319337072088941,0.0536751096127512,0.0009007125781405798
Q7=5,1.1614939153742168,-0.49925400476110493,0.0317780890604142,0.010039369765176215
Q8=1,-0.3894168372111332,0.06842812540162202,0.03439419954969515,0.0018159106574279968
Q8=2,0.9145189835550744,-0.16069880320799204,0.08077244075433708,0.004264542798280424
Q90=1,-0.3544273056831755,-1.939541058845493,0.0023672178847864646,0.12121358003847786
Q90=2,-0.586305158236531,-2.256538454266115,0.007865968494455096,0.1992322713387868
Q90=3,0.15355660237573718,-0.3458268382755053,0.0016662959663822727,0.014451135686226123
Q90=4,0.18302787602613224,0.49496591882899943,0.0042047402420873955,0.05258050105047622
Q90=5,-0.16062836369413544,0.5907884350396925,0.0022053323435465683,0.05101089962331358
Q91=1,-0.41163758269086337,-2.2831473538919433,0.0032501301599313,0.17096532444054258
Q91=2,-0.30795740731949417,-2.035405933941993,0.00201056315038866,0.1501785538005131
Q91=3,-0.06614444092284522,-0.2488541244191016,0.0003459795440532908,0.008373805013085973
Q91=4,0.4088990194377515,0.4481399103376531,0.01862327223023547,0.03824903964481907
Q91=5,-0.27977081070007354,0.612786843370589,0.007243248017514232,0.059417839221924174
