k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,稳定性说明
2,0.1329384762186662,136.89846043643075,2.58588561853313,518|443,优先方案（轮廓系数相对最优）
3,0.11865186174968584,110.05682931359149,2.513190246870268,387|249|325,备选方案
4,0.12345295789410432,104.9628078242917,2.3454728969902887,242|215|243|261,备选方案
