respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
103,1,0,1,0,2,5,5,5,5,1,1,1
104,2,0,1,0,2,4,4,4,3,2,2,3
105,2,0,0,0,2,3.384615,4.100000,3.800000,3,2,2,3
106,2,0,0,0,2,4,4.400000,3.900000,3.250000,3,3,3
107,1,0,1,0,2,4.076923,5,5,5,2,6,6
108,2,0,1,0,2,3,3,3,3,4,5,4
109,2,0,0,0,2,4.076923,4.400000,4.400000,4.250000,2,8,4
110,2,0,1,0,2,3,3,3,3,1,1,1
111,2,0,1,0,2,4,4,4.100000,4,4,4,3
112,1,0,0,0,1,3.461538,4.100000,3.800000,4,3,2,1
113,2,0,1,0,2,3.615385,4.100000,3,3.250000,1,3,2
114,2,1,0,0,2,3.846154,4.300000,4,3.500000,1,1,1
115,1,0,1,0,2,2.923077,3,3.100000,3.250000,1,1,1
116,2,0,1,0,2,3.692308,4.400000,4,3,5,4,3
117,2,0,1,0,2,3.769231,4,4.100000,3.250000,2,3,3
118,2,0,0,0,2,3.461538,4.600000,3.300000,3,4,3,3
119,2,0,0,0,2,4.076923,5,5,5,1,8,4
120,1,0,0,0,1,4,4.100000,4.300000,4,3,3,4
121,2,0,0,0,2,1,1,1,1,3,1,1
122,2,0,1,0,2,4,4,4,4,1,1,3
123,1,0,0,0,1,3.307692,3.900000,3.900000,4,1,6,4
124,2,0,0,0,2,4.153846,4.300000,4.200000,4.250000,2,3,3
125,2,0,1,0,2,3,5,5,5,1,1,1
126,2,0,1,0,1,2,2,2,2,1,1,1
127,2,0,1,0,1,5,5,4,3.250000,2,3,3
128,2,0,1,0,2,2.923077,3,3,3,2,2,2
129,2,0,0,0,1,1,1,1,1,1,1,1
130,2,0,1,0,1,3.923077,3.600000,3.400000,3.250000,1,2,3
131,2,0,0,0,2,5,4.400000,3,5,2,1,2
132,1,0,0,0,2,1,1,1,1,3,2,2
133,2,0,1,0,1,3,3,3,3,2,1,2
134,1,0,1,0,2,4,4,4,4,2,2,2
135,2,0,0,0,1,3.615385,3,3,1,1,1,4
136,1,0,1,0,1,3.615385,3.200000,3.200000,3,1,2,1
137,2,0,1,0,2,3,3,3,3,1,1,1
138,2,0,0,0,2,4,3.800000,4.300000,3.250000,3,2,3
139,2,0,1,0,1,4,4.100000,3.700000,4,1,5,2
140,2,0,1,0,2,5,5,5,5,2,1,1
141,2,0,1,0,2,3.923077,4,4,3.750000,1,3,5
142,2,0,0,0,2,3.076923,3,3.100000,3,1,1,1
143,1,0,1,0,2,3.384615,4,4,4,2,2,1
144,2,0,1,0,2,4,4,4,4,1,3,1
145,1,0,0,0,2,3.615385,4,3.800000,3.750000,2,3,3
146,2,0,0,0,2,4.153846,4.300000,3.900000,3.500000,4,6,3
147,2,0,1,0,2,3,3,3,3,1,2,1
148,2,0,1,0,1,3,3,3,3,1,1,1
149,1,0,1,0,1,4,4.500000,4.200000,2.500000,4,3,3
