check_item,doc_value,recomputed_value,source,status,note
table5.row7.count,133,133,data\raw\数据.xlsx(Q4),PASS,人数
table5.row7.pct,13.84%,13.84%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row7.total,100%,100%,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row8.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row8.attr,企业/公司职员,企业/公司职员,docs\待填数据.docx(table5),PASS,属性名称
table5.row8.count,339,339,data\raw\数据.xlsx(Q4),PASS,人数
table5.row8.pct,35.28%,35.28%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row8.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row9.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row9.attr,事业单位人员/公务员,事业单位人员/公务员,docs\待填数据.docx(table5),PASS,属性名称
table5.row9.count,87,87,data\raw\数据.xlsx(Q4),PASS,人数
table5.row9.pct,9.05%,9.05%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row9.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row10.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row10.attr,自由职业者,自由职业者,docs\待填数据.docx(table5),PASS,属性名称
table5.row10.count,93,93,data\raw\数据.xlsx(Q4),PASS,人数
table5.row10.pct,9.68%,9.68%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row10.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row11.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row11.attr,个体经营者,个体经营者,docs\待填数据.docx(table5),PASS,属性名称
table5.row11.count,156,156,data\raw\数据.xlsx(Q4),PASS,人数
table5.row11.pct,16.23%,16.23%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row11.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row12.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row12.attr,服务业从业者,服务业从业者,docs\待填数据.docx(table5),PASS,属性名称
table5.row12.count,112,112,data\raw\数据.xlsx(Q4),PASS,人数
table5.row12.pct,11.65%,11.65%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row12.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row13.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row13.attr,离退休人员,离退休人员,docs\待填数据.docx(table5),PASS,属性名称
table5.row13.count,1,1,data\raw\数据.xlsx(Q4),PASS,人数
table5.row13.pct,0.10%,0.10%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row13.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row14.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row14.attr,其他,其他,docs\待填数据.docx(table5),PASS,属性名称
table5.row14.count,40,40,data\raw\数据.xlsx(Q4),PASS,人数
table5.row14.pct,4.16%,4.16%,data\raw\数据.xlsx(Q4),PASS,比例（2位小数）
table5.row14.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row15.var,月收入,月收入,docs\待填数据.docx(table5),PASS,分组标题
table5.row15.attr,3000元以下,3000元以下,docs\待填数据.docx(table5),PASS,属性名称
table5.row15.count,211,211,data\raw\数据.xlsx(Q5),PASS,人数
table5.row15.pct,21.96%,21.96%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row15.total,100%,100%,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row16.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row16.attr,3001-5000元,3001-5000元,docs\待填数据.docx(table5),PASS,属性名称
table5.row16.count,238,238,data\raw\数据.xlsx(Q5),PASS,人数
table5.row16.pct,24.77%,24.77%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row16.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row17.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row17.attr,5001-8000元,5001-8000元,docs\待填数据.docx(table5),PASS,属性名称
table5.row17.count,313,313,data\raw\数据.xlsx(Q5),PASS,人数
table5.row17.pct,32.57%,32.57%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row17.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row18.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row18.attr,8001-15000元,8001-15000元,docs\待填数据.docx(table5),PASS,属性名称
table5.row18.count,156,156,data\raw\数据.xlsx(Q5),PASS,人数
table5.row18.pct,16.23%,16.23%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row18.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row19.var,,,docs\待填数据.docx(table5),PASS,分组标题
table5.row19.attr,15000元以上,15000元以上,docs\待填数据.docx(table5),PASS,属性名称
table5.row19.count,43,43,data\raw\数据.xlsx(Q5),PASS,人数
table5.row19.pct,4.47%,4.47%,data\raw\数据.xlsx(Q5),PASS,比例（2位小数）
table5.row19.total,,,docs\待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.valid_n.label,有效填写人次,有效填写人次,docs\待填数据.docx(table5),PASS,汇总标签
table5.valid_n.value,961,961,data\raw\数据.xlsx,PASS,样本总数
pending.table1_r2_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r2_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r2_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r3_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r3_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r3_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r4_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r4_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r4_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r5_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r5_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r5_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r6_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r6_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r6_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r7_c2,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r7_c3,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table1_r7_c4,待补,待补,预调查样本与信效度输出,PENDING,缺少预调查原始数据/结果表
pending.table2_r2_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.table2_r3_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.table2_r4_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.table2_r5_c2,待补,待补,预调查KMO/Bartlett结果,PENDING,缺少预调查原始数据/结果表
pending.paragraph_pretest_recovery,待补,待补,预调查回收台账/原始问卷,PENDING,缺少预调查原始数据
