feature_set,preprocess,k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,stratified_sig_n,stratified_mean_effect,stratified_external_score,visited_sig_n,unvisited_sig_n,all_sig_n,visited_scored_sig_n,unvisited_scored_sig_n,all_scored_sig_n,k_robust_note
enhanced,robust,2,0.3408398673532379,321.5022423868485,1.36217885501762,690|171,3,0.06740651525630154,3.6740651525630152,3,2,2,1,0,2,正文主口径
enhanced,robust,3,0.2600918688147625,225.74376230666138,1.4777391607977732,672|80|109,4,0.08619377642083541,4.8619377642083546,4,2,2,2,0,2,备选
enhanced,robust,4,0.25137940908444456,196.7896771051211,1.4882334227182183,68|611|80|102,4,0.1245523220524796,5.245523220524796,4,2,2,2,0,2,附录结构优先版（robust）
enhanced,zscore,4,0.15448160907995342,96.65152889599203,2.0777536125519696,68|102|78|613,4,0.12460085174290342,5.2460085174290345,4,2,2,2,0,2,附录统计优先版（zscore）
