run_id,sample_n,consistency_rate,silhouette
1,603,0.988391376451078,0.3671294323973752
2,603,0.9933665008291874,0.3682006548997508
3,603,0.9966832504145937,0.36293440878378536
4,603,0.9834162520729685,0.3645523313235569
5,603,0.9850746268656716,0.36388915734927985
6,603,0.988391376451078,0.3644577152533906
7,603,0.857379767827529,0.33817422337424063
8,603,0.9270315091210614,0.37535968023249733
9,603,0.9850746268656716,0.31879896857475765
10,603,0.9900497512437811,0.3569751530009341
11,603,0.9867330016583747,0.34588421062848
12,603,0.9867330016583747,0.3484523478051965
13,603,0.9800995024875622,0.3450090370774321
14,603,0.9917081260364843,0.37703343774753384
15,603,0.9933665008291874,0.345998295827427
16,603,0.9800995024875622,0.35027728558334714
17,603,0.9834162520729685,0.3640623872028333
18,603,0.9850746268656716,0.35649818139346956
19,603,0.9850746268656716,0.36083882363260955
20,603,0.9933665008291874,0.3284853448233174
21,603,0.9867330016583747,0.36828177603109763
22,603,0.9900497512437811,0.3431021246139384
23,603,0.9834162520729685,0.34490705014067463
24,603,0.9900497512437811,0.33758361617963634
25,603,0.9950248756218906,0.31868775743652755
26,603,0.9834162520729685,0.36433151774985284
27,603,0.9867330016583747,0.3241857650943449
28,603,0.9867330016583747,0.3523565551109839
29,603,0.9900497512437811,0.3561586478547715
30,603,0.9850746268656716,0.3852047397226053
31,603,0.9900497512437811,0.3664356090246321
32,603,0.9800995024875622,0.36989041758602204
33,603,0.9966832504145937,0.3309763538391971
34,603,0.9850746268656716,0.3622552224576977
35,603,0.8557213930348259,0.3297132339619667
36,603,0.8822553897180763,0.350769015939375
37,603,0.9817578772802653,0.35661180665876174
38,603,0.9900497512437811,0.33351286049998125
39,603,0.9917081260364843,0.3372882504092868
40,603,0.9950248756218906,0.3366140091061069
41,603,0.9867330016583747,0.35563268311773344
42,603,0.9867330016583747,0.37081295453370056
43,603,0.9834162520729685,0.37072598727776496
44,603,0.9419568822553898,0.39062164582074965
45,603,0.8839137645107794,0.35383114230119367
46,603,0.9917081260364843,0.33944671717855307
47,603,0.9917081260364843,0.33888596747474226
48,603,0.9933665008291874,0.32822057336869903
49,603,0.9966832504145937,0.3534338393847576
50,603,0.9850746268656716,0.3691695371822183
51,603,0.9867330016583747,0.32309375259866624
52,603,0.966832504145937,0.33910353266950277
53,603,0.9917081260364843,0.36042252613165465
54,603,0.9983416252072969,0.3301023871692964
55,603,0.9834162520729685,0.36786236908826103
56,603,0.9867330016583747,0.3787995976510307
57,603,0.9900497512437811,0.33259789384598315
58,603,0.8839137645107794,0.352358104341852
59,603,0.9917081260364843,0.3334154764243404
60,603,0.9834162520729685,0.34849222432953375
61,603,0.867330016583748,0.32580864087992367
62,603,0.8839137645107794,0.3429473883143535
63,603,0.9817578772802653,0.35537439922610287
64,603,0.9834162520729685,0.3499497587937185
65,603,0.9900497512437811,0.3395440119849497
66,603,0.9950248756218906,0.34850957063488475
67,603,0.9900497512437811,0.35951181848241426
68,603,0.845771144278607,0.3309439514374417
69,603,0.9817578772802653,0.3573085688136806
70,603,0.9950248756218906,0.355184510037399
71,603,0.9933665008291874,0.33363555867445754
72,603,0.9834162520729685,0.3244345886595795
73,603,0.9900497512437811,0.3832653076094311
74,603,0.9900497512437811,0.3504870767806543
75,603,0.9917081260364843,0.3252471209179443
76,603,0.988391376451078,0.33687327997378075
77,603,0.9850746268656716,0.3443802535894204
78,603,0.9867330016583747,0.3312955301560779
79,603,0.8955223880597015,0.3320286308023048
80,603,0.9800995024875622,0.35293769898850047
81,603,0.9402985074626866,0.38734359475272334
82,603,0.9900497512437811,0.36378389461285077
83,603,0.9933665008291874,0.37104590379282076
84,603,0.9950248756218906,0.36174255438604325
85,603,0.9966832504145937,0.3474766906486944
86,603,0.9933665008291874,0.3687005060399907
87,603,0.945273631840796,0.3873912873596672
88,603,0.8623548922056384,0.327571138536947
89,603,0.988391376451078,0.32481827357412135
90,603,0.9983416252072969,0.33753550947776084
91,603,0.9983416252072969,0.34017887596480817
92,603,0.9917081260364843,0.3168605554391948
93,603,0.988391376451078,0.3542046283330463
94,603,0.9917081260364843,0.34589753145598495
95,603,0.9253731343283582,0.38499454412083006
96,603,0.9966832504145937,0.3540566240992926
97,603,0.988391376451078,0.33823209852817404
98,603,0.9917081260364843,0.35105211460299013
99,603,0.9917081260364843,0.33777947632454774
100,603,0.9933665008291874,0.3548164711803094
101,603,0.9983416252072969,0.3461149077449736
102,603,0.9867330016583747,0.3499835918482224
103,603,0.9850746268656716,0.31717043703615555
104,603,0.857379767827529,0.33673068077540336
105,603,0.9917081260364843,0.3338685567080916
106,603,0.988391376451078,0.3703096318654325
107,603,0.8756218905472637,0.34942148604284773
108,603,0.9834162520729685,0.34077000106119903
109,603,0.988391376451078,0.3670139572928167
110,603,0.9983416252072969,0.34067552727427003
111,603,0.9867330016583747,0.35427153023676244
112,603,0.9950248756218906,0.3432458353483187
113,603,0.9900497512437811,0.35795841023468083
114,603,0.8507462686567164,0.33710570596125855
115,603,0.8723051409618574,0.3442971860054621
116,603,0.9867330016583747,0.3618815510053236
117,603,0.9933665008291874,0.3480198689636337
118,603,0.867330016583748,0.3341042670250607
119,603,0.9850746268656716,0.3601474831917209
120,603,0.9867330016583747,0.36009259246184094
