cluster,cluster_name,n,share_pct,motive_count,new_project_pref_count,promo_pref_count,importance_mean,performance_mean,cognition_mean
1,品质稳定复游型,68,7.897793263646922,3.838235294117647,3.6911764705882355,2.6176470588235294,2.126470588235294,4.139705882352942,3.6948529411764706
2,文化深度体验型,611,70.96399535423926,3.713584288052373,3.718494271685761,2.6563011456628476,4.180196399345335,4.144844517184943,3.933306055646481
3,价格优惠敏感型,80,9.291521486643438,3.825,3.7,2.7375,4.154999999999999,2.14875,3.753125
4,轻度打卡观光型,102,11.846689895470384,3.764705882352941,3.7549019607843137,2.6862745098039214,1.9000000000000001,1.8715686274509804,2.2205882352941178
