图号,变量,col_idx,code,count,pct,item_text
图6-2,停留时长(Q24),24,3,314,36.4692,11. 您在街区的停留时长大约是?（单选）
图6-2,停留时长(Q24),24,2,244,28.3391,11. 您在街区的停留时长大约是?（单选）
图6-2,停留时长(Q24),24,1,191,22.1835,11. 您在街区的停留时长大约是?（单选）
图6-2,停留时长(Q24),24,4,112,13.0081,11. 您在街区的停留时长大约是?（单选）
图6-2,消费金额(Q25),25,3,286,33.2172,12. 您本次在街区的消费金额大约是?（单选）
图6-2,消费金额(Q25),25,2,220,25.5517,12. 您本次在街区的消费金额大约是?（单选）
图6-2,消费金额(Q25),25,1,179,20.7898,12. 您本次在街区的消费金额大约是?（单选）
图6-2,消费金额(Q25),25,4,100,11.6144,12. 您本次在街区的消费金额大约是?（单选）
图6-2,消费金额(Q25),25,5,76,8.8269,12. 您本次在街区的消费金额大约是?（单选）
