年龄编码,年龄段,男,女,合计,占比
1,18岁以下,18,18,36,4.18%
3,18-25岁,159,155,314,36.47%
2,26-45岁,141,137,278,32.29%
4,46-64岁,75,77,152,17.65%
5,65岁及以上,49,32,81,9.41%
