分层,目标样本量,实际样本量,目标占比,实际占比,占比偏差(百分点),实际/目标,建议校正权重
到访层,600,647,60.00%,79.58%,19.58,1.078,0.754
未到访层,400,166,40.00%,20.42%,-19.58,0.415,1.959
合计,1000,813,100.00%,100.00%,0.00,0.813,
