term,coef,std_err,z,p_value,odds_ratio,marginal_effect
Intercept,-0.9178611593439506,0.0784913368255004,-11.69378935900292,1.3712874995265326e-31,0.39937232200246703,
Q2_age_code,-0.13598119598498995,0.079819335938068,-1.7036122186045002,0.08845355724883423,0.8728590455889976,-0.027732579095062007
Q6_habit_code,0.06406566896181543,0.07865333052825269,0.8145321823187475,0.4153401435516785,1.0661624102412968,0.013065822953621646
Q7_knowledge_code,-0.011518767445956715,0.07928747786508955,-0.1452785200906038,0.8844909732767586,0.9885473195654247,-0.0023491860544297715
Q8_visit_status_code,0.034734387502750715,0.07824838765240026,0.44389908271400963,0.6571155477739741,1.0353446717908188,0.007083877603524659
perception_mean,0.0662810756569613,0.09855890839008834,0.6725021283172705,0.5012640856514509,1.0685270118930963,0.013517642346412138
performance_mean,-0.03492494447250513,0.09046728849680265,-0.3860505277964584,0.6994592480872244,0.9656778930012917,-0.007122740596290313
cognition_mean,0.03738894065813541,0.0907229626508053,0.41212213055746727,0.6802499085975787,1.0380967003432218,0.007625258379083351
motive_count,-0.1694199661703227,0.07496171648095236,-2.260086536483887,0.023815880573651523,0.844154312679338,-0.03455222303398357
