假设,路径,主样本β,主样本p值,稳健样本β,稳健样本p值,主样本方向,稳健样本方向,方向一致性
H1,S_env -> O_cognition,0.2714,0.0000,0.1877,0.0623,正向,正向,True
H2,S_service -> O_cognition,0.3589,0.0000,0.1828,0.2079,正向,正向,True
H3,S_activity -> O_cognition,0.2165,0.0000,0.5962,0.0003,正向,正向,True
H4,O_cognition -> R_visit,0.3832,0.0000,0.5138,0.0000,正向,正向,True
H5,O_cognition -> R_recommend,0.3436,0.0000,0.5325,0.0000,正向,正向,True
