calibration,expected_code,attention_abnormal_n,sensitivity_n,model_n,events,accuracy,auc,pseudo_r2,consistent_direction_n,reversed_direction_n,unknown_direction_n
口径A_应选1,1,755,106,106,17,0.8207547169811321,0.7964309319233311,0.197423739986467,4,4,0
口径B_应选5,5,614,247,247,66,0.7368421052631579,0.5715302193202746,0.016594376390791754,5,3,0
