respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,invalid_union_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
83,1,0,1,0,0,2,4,4.300000,2.500000,4.250000,4,4,3
84,1,0,1,0,0,2,3.615385,4.200000,4.400000,2.500000,4,4,2
85,1,1,1,0,0,2,4.384615,4.100000,4.300000,4.250000,3,3,3
86,1,1,1,0,0,1,4.538462,4.700000,4.900000,4.500000,4,3,2
87,2,1,1,0,0,2,4.153846,4.400000,3.900000,4.250000,4,4,3
88,2,0,1,0,0,2,3.692308,4.100000,1.900000,4.250000,4,3,3
89,1,1,0,0,0,2,3.846154,3.900000,4,3.750000,4,4,3
90,1,0,1,0,0,1,4.307692,3.900000,3.900000,3.500000,3,4,3
91,2,0,1,0,0,2,4.307692,3.900000,3.900000,3.750000,4,4,3
92,1,0,1,0,0,2,3.692308,4.300000,4.100000,4.500000,4,4,3
93,1,0,1,0,0,2,4,3.900000,4.300000,4.500000,4,4,3
94,1,1,1,0,0,1,3.538462,4,4,3.750000,4,4,3
95,1,0,1,0,0,2,4.307692,4,2.100000,3,4,4,3
96,2,0,1,0,0,1,3.846154,4.200000,4.100000,4.250000,3,4,3
97,1,0,0,0,0,2,3.538462,4.300000,4,4,4,4,2
98,1,0,1,0,0,1,3.692308,4.100000,4.100000,4.500000,4,4,2
99,1,0,1,0,0,2,4.076923,4.200000,4.200000,4,4,4,2
100,1,0,1,0,0,1,2,1.500000,1.900000,1,3,4,3
101,2,0,1,0,0,1,3.538462,4,4.200000,3.750000,4,4,3
102,1,0,1,0,0,2,4.307692,4.400000,4.300000,4,4,4,3
103,1,0,1,0,0,2,3.615385,2.400000,3.900000,3.750000,4,4,3
104,2,0,1,0,0,2,4.230769,4.200000,4.100000,4,4,3,3
105,1,0,1,0,0,2,4.076923,3.900000,4.100000,2.500000,4,4,2
106,1,0,1,0,0,1,4.230769,4,2.200000,4,4,4,3
107,1,0,1,0,0,1,3,2.300000,1.800000,2,3,4,3
108,1,1,1,0,0,2,4.076923,4.100000,3.700000,4.250000,4,4,2
109,1,0,1,0,0,2,3.846154,2.400000,2.200000,4.750000,4,3,2
110,1,0,1,0,0,2,4.153846,4.100000,4.200000,4,3,4,3
111,1,1,1,0,0,2,3.692308,4.500000,4.200000,4.500000,4,3,3
112,1,0,1,0,0,2,3.923077,4,3.900000,4.250000,4,4,2
113,1,0,1,0,0,2,3.615385,1.900000,3.800000,2,4,4,2
114,2,0,1,0,0,2,4.461538,4,4.300000,4.250000,4,3,2
115,2,0,1,0,0,2,3.615385,1.700000,4.300000,1.750000,4,4,3
116,1,1,1,0,0,2,3.615385,4.400000,3.900000,4.250000,4,4,3
