k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,稳定性说明
2,0.15268628896597983,146.0749169232348,2.2701165447642926,320|541,优先方案（轮廓系数相对最优）
3,0.13942305329299118,113.73263195793069,2.2731835005340844,242|224|395,备选方案
4,0.13285432115054707,108.13582353675999,2.089061088747267,235|210|174|242,备选方案
