category,dim1,dim2,dim1_contrib,dim2_contrib
Q1=1,0.002636512343011212,-0.05003448831491649,1.5631697531993886e-06,0.000716469677136086
Q1=2,-0.0027812373642266564,0.0527810115398401,1.6489762074323284e-06,0.0007557985615612112
Q2=1,-0.16400845209580708,0.5040018871329959,0.0004926735150622078,0.005921114313480755
Q2=2,0.7024661159877051,-0.19341384510509704,0.06979427703345538,0.006733742943369042
Q2=3,-0.32997530063424146,-0.026582039251576015,0.017394693087736838,0.00014366231410661753
Q2=4,-0.3680210477236464,0.2382443689776113,0.01047401420798369,0.0055863159786494025
Q2=5,-0.36826953476526497,0.09578515114601208,0.0055890868874071175,0.0004811915767316036
Q3=1,-0.1883860221467736,0.09850161570486501,0.0012458641769551289,0.0004334833479547848
Q3=2,-0.3279762195536708,-0.3883079368281826,0.0051991526949498445,0.009274975260321257
Q3=3,-0.4068631447556721,-0.02906280450599939,0.017181106365422028,0.00011156856016073208
Q3=4,0.495635875351541,-0.10393785002709294,0.041244274073321464,0.0023083306484937526
Q3=5,-0.22333362546089117,0.43141684136936326,0.004136376789148981,0.019643479310535682
Q4=1,3.600863145851625,-0.6930012392234369,0.2902619872433856,0.013682243609662742
Q4=2,-0.2353149403358657,-0.037415183227707,0.009494085977861168,0.00030546557475132926
Q4=3,-0.3331344109638326,-0.4413486098156731,0.004686421414482427,0.010468350086801095
Q4=4,-0.2178516830207196,0.16968569594218783,0.0037426377433933534,0.0028897401089164666
Q4=5,-0.14808436610743378,-0.05365590994451879,0.0012384134383695423,0.00020691631118374478
Q4=6,0.07389027715656585,0.3257061805697081,0.0002527785622869168,0.00625071951708724
Q4=8,-0.20015817823492543,0.7437041647307078,0.0008153253141000917,0.014325079411328703
Q5=1,1.4891055179827075,-0.23851865819515705,0.14440597777044697,0.004715104305570052
Q5=2,-0.31041809979530305,-0.047016489130801135,0.011324793925429502,0.0003306351268685615
Q5=3,-0.25098643094767414,0.17956505912278664,0.00996747444285634,0.006492929307916978
Q5=4,-0.23380081054743643,-0.15421741257909014,0.004255079823503306,0.002356106271665541
Q5=5,-0.13343740027860818,0.24057178883182498,0.00034424131878993375,0.001423998760936857
Q6=1,-0.20429445955650305,-0.014819416264963688,0.007113482059473985,4.763691419275313e-05
Q6=2,-0.20556875473883127,0.07733506408353949,0.0057190000819241785,0.0010300804764470542
Q6=3,0.2983418088839199,-0.012890392377769734,0.010007941700910501,2.37772250305473e-05
Q6=4,1.4663177679131167,-0.32712425338388684,0.04266237778868447,0.0027022574052565974
Q7=1,-0.27161828528781795,0.4016301775640652,0.005705396749014561,0.01587569995138397
Q7=2,-0.24172807375056563,-0.13980356415762374,0.00701601391254159,0.0029866553521183583
Q7=3,-0.19365854590330547,-0.002033607383851265,0.006163112729623278,8.649148670870482e-07
Q7=4,1.1688408124917093,-0.018121362315656742,0.07298343335293603,2.2325829624133037e-05
Q7=5,0.8479384396448911,-0.5665455026757973,0.01646134878699042,0.00935230639166038
Q8=1,-0.2435989779751171,0.08384055968941213,0.019835381109473492,0.002990269471409497
Q8=2,0.7845320025963245,-0.27001592017619236,0.06388159504374477,0.0096304266799805
Q90=1,-0.0642302956451628,0.5951190562854585,0.0004890576076224987,0.053431855359758244
Q90=2,0.28895075626160044,0.45310219162811743,0.01401799390349242,0.04386750005750047
Q90=3,-0.02152648911839158,-0.2814984357999423,4.2672613160363304e-05,0.009286822962515014
Q90=4,-0.7979857897484037,-2.1586842433627402,0.020734546700933915,0.19310558597958805
Q90=5,-0.479635954842992,-1.869423677297849,0.006203311483291022,0.11993003690124228
Q91=1,-0.1592499964883126,0.610763458163656,0.003328915909761899,0.06231640864514955
Q91=2,0.44248362119677737,0.4275143733472166,0.027493354842874643,0.03266232854934092
Q91=3,-0.12478439681044903,-0.18363829755803826,0.0016953469815922967,0.004672796941549857
Q91=4,-0.32078200126794976,-2.002184949181144,0.003088845973637701,0.15314295263775066
Q91=5,-0.6557218771126102,-2.187841325387921,0.011812922716009183,0.16736399046844355
