label,run_dir,n_samples,attention_flag_n,logic_flag_n,duplicate_flag_n,straightline_flag_n,cluster_best_silhouette,cleanliness,reliability,validity,conversion_integrity,main_auc,main_pseudo_r2,sensitivity_auc,direction_stability,sensitivity_ratio,sample_size_score,visit_balance,Q_score,M_score,C_score,T_score,conversion_unknown_count,conversion_unknown_rate,conversion_branch_conflict_count
amethyst,output_runs\amethyst,813,756,0,0,0,0.16475414192499857,0.7675276752767528,0.8882929314406661,0.9381692694231442,1.0,0.5693171250166069,0.009951703811809653,0.7240853658536586,0.375,0.07011070110701106,0.8459937565036421,0.6736367363673637,86.11328034275299,37.663074456227484,79.42866504627585,70.2412955174999,0,0.0,0
new961,output_runs\new961,961,846,0,0,61,0.13293847621866647,0.764047866805411,0.9055803704279073,0.953604880667371,1.0,0.588208649912332,0.031242590607338028,0.8187274909963985,0.375,0.11966701352757544,1.0,0.831078737426292,86.80142339840108,40.91307212693798,94.93236212278875,74.66110576183969,0,0.0,0
