模型ID,模型说明,CMIN/DF,RMSEA,CFI,TLI,SRMR,全部达标
baseline_current,baseline_current,7.8821,0.0894,0.8432,0.8163,0.0783,False
legacy_compat_v2,legacy_compat_v2,5.9813,0.0760,0.8873,0.8670,0.0725,False
intent_partial_v1,intent_partial_v1,5.5918,0.0730,0.8982,0.8774,0.0578,False
