假设,路径,主样本β,主样本p值,稳健样本β,稳健样本p值,主样本方向,稳健样本方向,方向一致性
H1,S_env -> O_cognition,0.2701,0.0000,0.1796,0.0776,正向,正向,True
H2,S_service -> O_cognition,0.3512,0.0000,0.1873,0.2004,正向,正向,True
H3,S_activity -> O_cognition,0.2128,0.0000,0.5916,0.0003,正向,正向,True
H4,O_cognition -> R_visit,0.3573,0.0000,0.4895,0.0000,正向,正向,True
H5,O_cognition -> R_recommend,0.3142,0.0000,0.5094,0.0000,正向,正向,True
