假设,路径,标准化系数β,p值,结论,状态,备注
NH1,S_env -> O_cognition,0.2624,0.0000,支持,ready,直接路径（标准化系数）
NH2,S_service -> O_cognition,0.3538,0.0000,支持,ready,直接路径（标准化系数）
NH3,S_activity -> O_cognition,0.2003,0.0000,支持,ready,直接路径（标准化系数）
NH4,O_cognition -> R_intent,0.0964,0.0766,不支持,ready,直接路径（标准化系数）
NH5,S_env -> R_intent,0.1409,0.0041,支持,ready,直接路径（标准化系数）
NH6,S_service -> R_intent,0.2761,0.0000,支持,ready,直接路径（标准化系数）
NH7,S_activity -> R_intent,0.1798,0.0006,支持,ready,直接路径（标准化系数）
NH8,S_env -> O -> R_intent,indirect=0.0253,"p_boot=0.0970;95%CI=[-0.0040,0.0637]",中介不显著,ready,bootstrap=2000;success=2000;fail=0
NH9,S_service -> O -> R_intent,indirect=0.0341,"p_boot=0.0970;95%CI=[-0.0056,0.0777]",中介不显著,ready,bootstrap=2000;success=2000;fail=0
NH10,S_activity -> O -> R_intent,indirect=0.0193,"p_boot=0.0970;95%CI=[-0.0031,0.0492]",中介不显著,ready,bootstrap=2000;success=2000;fail=0
