假设,路径,主样本β,主样本p值,稳健样本β,稳健样本p值,主样本方向,稳健样本方向,方向一致性
NH1,S_env -> O_cognition,0.3055,0.0000,0.1656,0.1070,正向,正向,True
NH2,S_service -> O_cognition,0.2433,0.0000,0.2059,0.1407,正向,正向,True
NH3,S_activity -> O_cognition,0.2525,0.0000,0.5796,0.0004,正向,正向,True
NH4,O_cognition -> R_intent,0.1468,0.0050,-0.0747,0.7573,正向,负向,False
NH5,S_env -> R_intent,0.1567,0.0015,0.3331,0.0223,正向,正向,True
NH6,S_service -> R_intent,0.1841,0.0003,0.0520,0.7853,正向,正向,True
NH7,S_activity -> R_intent,0.2058,0.0001,0.4530,0.1101,正向,正向,True
