模型,CMIN/DF,RMSEA,CFI,TLI,SRMR,全部达标,ΔCFI_相对含残差,ΔRMSEA_相对含残差,备注
CFA_含残差相关,2.2106,0.0375,0.9737,0.9677,0.0670,True,0.0000,0.0000,用于证明同方法效应已被测量层吸收
CFA_去残差相关,5.5918,0.0730,0.8982,0.8774,0.0578,False,-0.0755,0.0355,若CFI下降/RMSEA上升，支持残差相关为方法效应而非结构后验调参
