假设,路径,主样本β,主样本p值,稳健样本β,稳健样本p值,主样本方向,稳健样本方向,方向一致性
H1,S_env -> O_cognition,0.3098,0.0000,0.1784,0.0763,正向,正向,True
H2,S_service -> O_cognition,0.2489,0.0000,0.2013,0.1381,正向,正向,True
H3,S_activity -> O_cognition,0.2610,0.0000,0.5853,0.0002,正向,正向,True
H4,O_cognition -> R_visit,0.3542,0.0000,0.4873,0.0000,正向,正向,True
H5,O_cognition -> R_recommend,0.3107,0.0000,0.5096,0.0000,正向,正向,True
