model_id,sample_scope,term,coef,std_err,z,p_value,ci_lower,ci_upper,odds_ratio,or_ci_lower,or_ci_upper,marginal_effect,abs_coef
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C002)[T.5],-1.34256039475436,0.5273393511160013,-2.5459135410871903,0.010899217966457394,-2.376126530572445,-0.3089942589362755,0.2611760978525182,0.09290976454373208,0.7341849850169486,-0.27152683774517156,1.34256039475436
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C002)[T.4],-1.1294754127548634,0.5033006645759007,-2.244136541537453,0.02482361748037932,-2.115926588718703,-0.14302423679102383,0.3232027600041484,0.12052156387782713,0.8667330618128253,-0.22843135276038218,1.1294754127548634
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C002)[T.2],-1.0099407371148168,0.49194285134775423,-2.052963539053218,0.04007611381541495,-1.9741310082083565,-0.04575046602127697,0.36424056487868867,0.13888194709204746,0.9552803073477585,-0.20425599900776747,1.0099407371148168
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C003)[T.2],-1.009429044164405,0.35185183303396433,-2.8689037526400054,0.004118971170878228,-1.6990459648053755,-0.31981212352343436,0.3644269919006199,0.182857893728337,0.7262854762126889,-0.20415251139613727,1.009429044164405
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C002)[T.3],-0.8894720817853089,0.4862905257430588,-1.82909605410507,0.06738521999440328,-1.842583998264752,0.06363983469413437,0.41087260263865727,0.15840757191276256,1.065708498404569,-0.17989175203843896,0.8894720817853089
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C004)[T.3],-0.6539000722211717,0.5118400275502423,-1.2775477434831626,0.20140893603449173,-1.6570880920656355,0.34928794762329207,0.5200137256776011,0.1906934542032866,1.418057457834013,-0.13224836625993264,0.6539000722211717
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C004)[T.8],0.5342698910857385,0.6058231702385732,0.8818908178690871,0.3778358529984893,-0.653121703581743,1.72166148575322,1.706202074046517,0.5204186456217904,5.59381479117155,0.1080536969478461,0.5342698910857385
M1_Q20_visit_intent,模型1_Q20游览意愿,C088,0.4687378083404167,0.06930525750566263,6.763380228435312,1.3480882494394519e-11,0.33290199969004364,0.6045736169907897,1.5979759678528516,1.3950105803014397,1.8304715604977568,0.09480012618245202,0.4687378083404167
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C003)[T.3],-0.442646581240684,0.31498315828411116,-1.4053023776002078,0.15993138165709175,-1.060002227214221,0.17470906473285308,0.6423341799261391,0.346455038699609,1.1908996914867245,-0.08952329214581416,0.442646581240684
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C005)[T.5],-0.4282008054154811,0.4242003661036964,-1.0094305418652252,0.3127681971444598,-1.2596182452074316,0.4032166343764694,0.6516805406773238,0.2837623334558524,1.4966310782877807,-0.08660169856691939,0.4282008054154811
M1_Q20_visit_intent,模型1_Q20游览意愿,Intercept,0.3853589810785144,0.7402000430038815,0.5206146429209186,0.6026352466625793,-1.0654064445640925,1.8361244067211215,1.4701419798792865,0.3445877704747368,6.272182666337093,,0.3853589810785144
M1_Q20_visit_intent,模型1_Q20游览意愿,C(C004)[T.4],-0.38246930062568274,0.4875538760839462,-0.7844657162767174,0.4327668910377518,-1.3380573382731216,0.5731187370217562,0.682174832995545,0.2623548405533463,1.7737904198412329,-0.07735270617192612,0.38246930062568274
