c088_level,p_q20_high_m1_standardized,p_q21_high_m2_standardized,p_q21_high_m3_standardized_q20_0,p_q21_high_m3_standardized_q20_1
1,0.3719217851870759,0.3605718065204958,0.18331247127671432,0.6536943420307727
2,0.4793156716360943,0.4570969727917589,0.22413189809402848,0.7081601711681491
3,0.5885793055413375,0.5569335522123442,0.2708937756187025,0.7573533721720922
4,0.6901078039437093,0.6524921591465122,0.32321618818926207,0.8006970208881204
5,0.7766817344258906,0.7373612443601598,0.38025959545274146,0.838048719179045
