term,coef,std_err,z,p_value,odds_ratio,marginal_effect
Intercept,-1.0222690241523136,0.07562678566506753,-13.51728775938848,1.2365111532446845e-41,0.3597776690991677,
Q2_age_code,-0.09474777318593067,0.07629039236845736,-1.2419358485971637,0.2142602321438225,0.9096023316351354,-0.01843602999760285
Q6_habit_code,-0.015678731931557038,0.07798684721489205,-0.20104328475229208,0.8406647286291702,0.9844435395313915,-0.003050769031239686
Q7_knowledge_code,-0.09178215304418268,0.07940594792768292,-1.1558599253518274,0.24773845678404682,0.9123038705198979,-0.017858979370909283
Q8_visit_status_code,-0.0691830070500046,0.08044872400964732,-0.8599640069084036,0.3898088835163216,0.9331558903441296,-0.013461635565780774
perception_mean,0.05942057222350054,0.09297525800990558,0.6391009123864961,0.5227572864204988,1.061221467170435,0.01156206014295915
performance_mean,-0.039714770795480026,0.08504171882098854,-0.4670033878205,0.6404974542386674,0.9610635234463282,-0.007727703576701209
cognition_mean,0.055023343542886405,0.08658696619561265,0.6354691238237936,0.5251224979693079,1.056565278364512,0.010706447001497374
motive_count,0.10713585177119292,0.08958701728244184,1.195885910939804,0.23174108395544402,1.1130854588394754,0.020846503412765602
