分层,目标样本量,实际样本量,目标占比,实际占比,占比偏差(百分点),实际/目标,建议校正权重
到访层,600,661,60.00%,75.11%,15.11,1.102,0.799
未到访层,400,219,40.00%,24.89%,-15.11,0.547,1.607
合计,1000,880,100.00%,100.00%,0.00,0.880,
