category,dim1,dim2,dim1_contrib,dim2_contrib
Q1=1,0.02187258209008144,-0.06420130771750009,9.839155445616768e-05,0.0011829921072703327
Q1=2,-0.023099082020366597,0.06780138104745308,0.00010390883788361828,0.001249328113285481
Q2=1,-0.2180563322999946,0.5030682090677415,0.0007788596112376905,0.005785113862358404
Q2=2,-0.35969147385549666,-0.011835048024491306,0.01860230009502446,2.8104948601987058e-05
Q2=3,0.7307299970889225,-0.18311906908781933,0.0714299718422215,0.006259939527208563
Q2=4,-0.40171586551322774,0.20592924744422691,0.011234368783977895,0.004119866650579394
Q2=5,-0.39332787678373854,0.09826235928583917,0.005701823258124228,0.0004966095389246143
Q3=1,-0.2332636200130961,0.10535145228785968,0.0017082931121373786,0.00048627932817341574
Q3=2,-0.29931168977928513,-0.3702709196235765,0.003954015510460159,0.00844435742371166
Q3=3,-0.4391899811332652,-0.05349823319939556,0.017991939686249923,0.00037255329064567574
Q3=4,0.5224082459107906,-0.09088495300853254,0.042840883503040925,0.001809500605392527
Q3=5,-0.2748077744964003,0.4327407048136856,0.005635353380889554,0.019500915833681923
Q4=1,3.186926921618937,-0.4982953253373423,0.272656275709229,0.009302106365794205
Q4=2,-0.25481710920137973,-0.030155188665180598,0.010015580916271452,0.00019573994493244745
Q4=3,-0.36644409463618005,-0.487123338898385,0.005132323434462014,0.01265647674293554
Q4=4,0.006538405318691557,0.2946203990238278,1.770126677954776e-06,0.005015597563422083
Q4=5,-0.2570903863065379,0.17898798740376232,0.004691541354136225,0.003173423485363778
Q4=6,-0.19588081792707995,-0.043596753156154786,0.0019378763972280127,0.00013396363883860814
Q4=8,-0.24026270592712148,0.7661762718510414,0.0010506353182672254,0.014909842330588065
Q5=1,1.4570637686163828,-0.2005421075967163,0.1352397722589875,0.0035751547839404153
Q5=2,-0.3342854051599282,-0.0576062479190016,0.011897890447969586,0.0004930724068420789
Q5=3,-0.27116887829844044,0.18429416270652282,0.010438871704603246,0.006728734881953125
Q5=4,-0.2395787863460757,-0.16290984534585826,0.004021950476512655,0.002595201283313475
Q5=5,-0.10665799181152621,0.2286023623853395,0.0002070456320884611,0.0013273244157446147
Q6=1,-0.2739004550711521,-0.000400128091588435,0.01143535342048003,3.4056385735519886e-08
Q6=2,-0.18680701730401716,0.09024365064168176,0.004287157249783171,0.001396216413026492
Q6=3,0.38838319299422075,-0.04935321472160949,0.015991752272151254,0.00036036489528164375
Q6=4,1.2309824560301759,-0.30315342220088015,0.028958248725008975,0.0024509243382175054
Q7=1,-0.27424163881564856,0.40056296569609445,0.0052357330884087805,0.01558793844567049
Q7=2,-0.29469064165493863,-0.1270599095741673,0.009325324829197535,0.002419272286419179
Q7=3,-0.22320287103360362,-0.019144745516501197,0.007389863729705669,7.587041495984711e-05
Q7=4,1.2396440283979882,0.01928006029856223,0.08180863075271098,2.761584274891241e-05
Q7=5,0.8173280584114662,-0.5690536480948204,0.014589934113343203,0.009869685745086667
Q8=1,-0.27924282651706045,0.07884053241717812,0.023452264677291078,0.0026088927149105854
Q8=2,0.8428288051496595,-0.23796160697604712,0.07078514589812457,0.007874329153223216
Q90=1,-0.482881043538069,-1.8635105948037258,0.005623095502868853,0.11686790685235783
Q90=2,-0.7793694623999582,-2.184423517466836,0.01796467660472279,0.19694397866625515
Q90=3,0.04452378908520044,-0.3100415832635354,0.00016957481798778284,0.011475018778619105
Q90=4,0.2702130091660536,0.4674949170026579,0.011229191412685878,0.04690575711431837
Q90=5,-0.09936762323147988,0.5975768045194361,0.0010602812560679973,0.05351248632282844
Q91=1,-0.6295744174201661,-2.2043320994408617,0.009738838885622238,0.1666109241267364
Q91=2,-0.32276280954647246,-2.00854349589847,0.002891452659575894,0.1562600578267997
Q91=3,-0.15803160558225157,-0.1737064462185233,0.0024544881117031917,0.004138484047782704
Q91=4,0.4986250116332183,0.398290895495744,0.03269378771983536,0.029110808305679903
Q91=5,-0.21647019858927008,0.6306523469405495,0.005543561320589016,0.06566123457919186
