年龄编码,年龄段,男,女,合计,占比
1,18岁以下,18,18,36,4.09%
3,18-25岁,150,144,294,33.41%
2,26-45岁,159,157,316,35.91%
4,46-64岁,76,77,153,17.39%
5,65岁及以上,49,32,81,9.20%
