k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,稳定性说明
2,0.14897901353966622,143.21057944538276,2.3957998198233073,375|505,优先方案（轮廓系数相对最优）
3,0.14028630164236838,125.24263104661158,2.2316770601845,334|317|229,备选方案
4,0.13515426435394995,106.65287937736144,2.171330192295972,233|198|242|207,备选方案
