location,old_value,new_value,source_table,calculation_rule
table5_r10_c3,91,155,metrics.tables.table5_sample_structure,人数
table5_r10_c4,10.34%,17.96%,metrics.tables.table5_sample_structure,比例
table5_r10_c5,,,metrics.tables.table5_sample_structure,总计
table5_r11_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r11_c2,个体经营者,个体经营者,metrics.tables.table5_sample_structure,属性
table5_r11_c3,156,111,metrics.tables.table5_sample_structure,人数
table5_r11_c4,17.73%,12.86%,metrics.tables.table5_sample_structure,比例
table5_r11_c5,,,metrics.tables.table5_sample_structure,总计
table5_r12_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r12_c2,服务业从业者,服务业从业者,metrics.tables.table5_sample_structure,属性
table5_r12_c3,111,91,metrics.tables.table5_sample_structure,人数
table5_r12_c4,12.61%,10.54%,metrics.tables.table5_sample_structure,比例
table5_r12_c5,,,metrics.tables.table5_sample_structure,总计
table5_r13_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r13_c2,离退休人员,离退休人员,metrics.tables.table5_sample_structure,属性
table5_r13_c3,0,0,metrics.tables.table5_sample_structure,人数
table5_r13_c4,0.00%,0.00%,metrics.tables.table5_sample_structure,比例
table5_r13_c5,,,metrics.tables.table5_sample_structure,总计
table5_r14_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r14_c2,其他,其他,metrics.tables.table5_sample_structure,属性
table5_r14_c3,40,40,metrics.tables.table5_sample_structure,人数
table5_r14_c4,4.55%,4.63%,metrics.tables.table5_sample_structure,比例
table5_r14_c5,,,metrics.tables.table5_sample_structure,总计
table5_r15_c1,月收入,月收入,metrics.tables.table5_sample_structure,变量名
table5_r15_c2,3000元以下,3000元以下,metrics.tables.table5_sample_structure,属性
table5_r15_c3,140,128,metrics.tables.table5_sample_structure,人数
table5_r15_c4,15.91%,14.83%,metrics.tables.table5_sample_structure,比例
table5_r15_c5,100%,100%,metrics.tables.table5_sample_structure,总计
table5_r16_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r16_c2,3001-5000元,3001-5000元,metrics.tables.table5_sample_structure,属性
table5_r16_c3,234,232,metrics.tables.table5_sample_structure,人数
table5_r16_c4,26.59%,26.88%,metrics.tables.table5_sample_structure,比例
table5_r16_c5,,,metrics.tables.table5_sample_structure,总计
table5_r17_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r17_c2,5001-8000元,5001-8000元,metrics.tables.table5_sample_structure,属性
table5_r17_c3,312,311,metrics.tables.table5_sample_structure,人数
table5_r17_c4,35.45%,36.04%,metrics.tables.table5_sample_structure,比例
table5_r17_c5,,,metrics.tables.table5_sample_structure,总计
table5_r18_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r18_c2,8001-15000元,8001-15000元,metrics.tables.table5_sample_structure,属性
table5_r18_c3,154,153,metrics.tables.table5_sample_structure,人数
table5_r18_c4,17.50%,17.73%,metrics.tables.table5_sample_structure,比例
table5_r18_c5,,,metrics.tables.table5_sample_structure,总计
table5_r19_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r19_c2,15000元以上,15000元以上,metrics.tables.table5_sample_structure,属性
table5_r19_c3,40,39,metrics.tables.table5_sample_structure,人数
table5_r19_c4,4.55%,4.52%,metrics.tables.table5_sample_structure,比例
table5_r19_c5,,,metrics.tables.table5_sample_structure,总计
table5_r20_c1,有效填写人次,有效填写人次,fixed,固定标签
table5_r20_c2,880,863,metrics.tables.table5_valid_count,有效样本数
