假设,路径,主样本β,主样本p值,稳健样本β,稳健样本p值,主样本方向,稳健样本方向,方向一致性
RH1,S_env -> O_cognition,0.3056,0.0000,0.1655,0.1071,正向,正向,True
RH2,S_service -> O_cognition,0.2430,0.0000,0.2060,0.1406,正向,正向,True
RH3,S_activity -> O_cognition,0.2524,0.0000,0.5796,0.0004,正向,正向,True
RH4,O_cognition -> R_sum,0.1224,0.0065,-0.0662,0.7596,正向,负向,False
RH5,S_env -> R_sum,0.1365,0.0013,0.2933,0.0228,正向,正向,True
RH6,S_service -> R_sum,0.1587,0.0002,0.0502,0.7689,正向,正向,True
RH7,S_activity -> R_sum,0.1789,0.0001,0.4061,0.1074,正向,正向,True
