分层,目标样本量,实际样本量,目标占比,实际占比,占比偏差(百分点),实际/目标,建议校正权重
到访层,600,674,60.00%,70.14%,10.14,1.123,0.855
未到访层,400,287,40.00%,29.86%,-10.14,0.718,1.339
合计,1000,961,100.00%,100.00%,0.00,0.961,
