priority,problem,evidence,suggestion
1,高重要度低表现：②环境舒适度与卫生状况,重要度均值3.762，表现均值3.695，差值-0.067,纳入季度优先整改清单，配置专项预算和KPI跟踪。
2,新增项目需求集中于：药膳食疗定制服务,选择率70.03%（673/961）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。
3,新增项目需求集中于：中医药主题文化节、展演活动,选择率53.59%（515/961）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。
4,新增项目需求集中于：非遗中药炮制技艺体验课,选择率52.24%（502/961）,优先开发该类中医药文旅产品，做小规模A/B试点后扩容。
5,优惠机制偏好集中于：团购 / 家庭套票,选择率69.41%（667/961）,将高偏好优惠形式与核心产品绑定，提升转化和复游。
6,优惠机制偏好集中于：产品/服务折扣券,选择率53.28%（512/961）,将高偏好优惠形式与核心产品绑定，提升转化和复游。
7,优惠机制偏好集中于：餐饮套餐优惠,选择率45.16%（434/961）,将高偏好优惠形式与核心产品绑定，提升转化和复游。
8,深入游览关键影响因子：到访动机数量（正向）,"coef=0.348, OR=1.417, p=0.0006",围绕该因子制定分层触达与产品优化策略，作为转化抓手。
