term,coef,std_err,z,p_value,odds_ratio,marginal_effect
Intercept,-2.508686070692595,0.5041908527725911,-4.975667560998188,6.502315865626977e-07,0.08137509014408575,
Q2_age_code,0.3767029041471111,0.23527152547015243,1.601141078990884,0.10934567552635573,1.4574712363822828,0.026214267606018256
Q6_habit_code,0.01586131338940129,0.32351270916252445,0.04902840890072413,0.9608966561290705,1.0159877717344294,0.0011037682725437905
Q7_knowledge_code,0.024760108679305382,0.31373569356796516,0.07892027967146668,0.9370960327054672,1.0250691858260172,0.0017230239207816954
Q8_visit_status_code,-1.3000662155392995,0.5888564648637163,-2.207781170985673,0.027259531240079588,0.27251374779180493,-0.0904699255155768
perception_mean,0.34513336556228186,0.4887918480423367,0.7060947659920632,0.4801292064199174,1.41217824305488,0.024017384270236895
performance_mean,0.09383521695595942,0.365916807564109,0.25643866315028285,0.7976121368020028,1.0983787368122062,0.006529871315225342
cognition_mean,-0.516923078095883,0.3862309809917251,-1.338378078238519,0.18077322128950457,0.5963526584516764,-0.035972008051311094
motive_count,0.46671927722053835,0.45559219347467544,1.0244233415436725,0.30563536173084205,1.5947536568944967,0.032478390517447886
