source_csv: Logit改进5_系数OR.csv
rows: 67
cols: 14
columns:
- model_id
- sample_scope
- term
- coef
- std_err
- z
- p_value
- ci_lower
- ci_upper
- odds_ratio
- or_ci_lower
- or_ci_upper
- marginal_effect
- abs_coef

[data_tsv]
model_id	sample_scope	term	coef	std_err	z	p_value	ci_lower	ci_upper	odds_ratio	or_ci_lower	or_ci_upper	marginal_effect	abs_coef
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C002)[T.5]	-1.34256039475436	0.5273393511160013	-2.5459135410871903	0.0108992179664573	-2.376126530572445	-0.3089942589362755	0.2611760978525182	0.092909764543732	0.7341849850169486	-0.2715268377451715	1.34256039475436
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C002)[T.4]	-1.1294754127548634	0.5033006645759007	-2.244136541537453	0.0248236174803793	-2.115926588718703	-0.1430242367910238	0.3232027600041484	0.1205215638778271	0.8667330618128253	-0.2284313527603821	1.1294754127548634
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C002)[T.2]	-1.0099407371148168	0.4919428513477542	-2.052963539053218	0.0400761138154149	-1.9741310082083563	-0.0457504660212769	0.3642405648786886	0.1388819470920474	0.9552803073477584	-0.2042559990077674	1.0099407371148168
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C003)[T.2]	-1.009429044164405	0.3518518330339643	-2.8689037526400054	0.0041189711708782	-1.6990459648053755	-0.3198121235234343	0.3644269919006199	0.182857893728337	0.7262854762126889	-0.2041525113961372	1.009429044164405
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C002)[T.3]	-0.8894720817853089	0.4862905257430588	-1.82909605410507	0.0673852199944032	-1.842583998264752	0.0636398346941343	0.4108726026386572	0.1584075719127625	1.065708498404569	-0.1798917520384389	0.8894720817853089
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C004)[T.3]	-0.6539000722211717	0.5118400275502423	-1.2775477434831626	0.2014089360344917	-1.6570880920656357	0.349287947623292	0.5200137256776011	0.1906934542032866	1.418057457834013	-0.1322483662599326	0.6539000722211717
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C004)[T.8]	0.5342698910857385	0.6058231702385732	0.8818908178690871	0.3778358529984893	-0.653121703581743	1.72166148575322	1.706202074046517	0.5204186456217904	5.59381479117155	0.1080536969478461	0.5342698910857385
M1_Q20_visit_intent	模型1_Q20游览意愿	C088	0.4687378083404167	0.0693052575056626	6.763380228435312	1.348088249439452e-11	0.3329019996900436	0.6045736169907897	1.5979759678528516	1.3950105803014397	1.8304715604977568	0.094800126182452	0.4687378083404167
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C003)[T.3]	-0.442646581240684	0.3149831582841111	-1.4053023776002078	0.1599313816570917	-1.060002227214221	0.174709064732853	0.6423341799261391	0.346455038699609	1.1908996914867245	-0.0895232921458141	0.442646581240684
M1_Q20_visit_intent	模型1_Q20游览意愿	C(C005)[T.5]	-0.4282008054154811	0.4242003661036964	-1.0094305418652252	0.3127681971444598	-1.2596182452074316	0.4032166343764694	0.6516805406773238	0.2837623334558524	1.4966310782877807	-0.0866016985669193	0.4282008054154811
