k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,稳定性说明
2,0.16475414192499827,152.15882126678102,2.151915602997415,515|298,优先方案（轮廓系数相对最优）
3,0.15163706629780868,117.31972948135649,2.1599653394595637,391|234|188,备选方案
4,0.15170118352323259,110.92880898477993,2.0123177981837563,204|238|231|140,备选方案
