calibration,expected_code,attention_abnormal_n,sensitivity_n,model_n,events,accuracy,auc,pseudo_r2,consistent_direction_n,reversed_direction_n,unknown_direction_n
口径A_应选1,1,756,57,57,16,0.6842105263157895,0.7240853658536586,0.1184074326237361,3,5,0
口径B_应选5,5,565,248,248,67,0.7338709677419355,0.5680300156675188,0.016609463638440736,5,3,0
